customer_id,age,income_bracket,account_tenure_months,credit_score_tier,num_products,has_checking,has_savings,has_mortgage,has_auto_loan,has_credit_card,avg_monthly_balance,digital_user,customer_segment,campaign_group
CUST000033,44.0,50-75K,20,Good,3,1,1,0,0,0,5462.97,1,Standard,Treatment
CUST000034,29.0,75-100K,122,Poor,1,0,1,1,1,0,2939.29,0,Standard,Treatment
CUST000035,57.0,75-100K,129,Very Good,4,1,1,0,1,0,826.83,1,Standard,Control
CUST000036,,30-50K,13,Very Good,2,1,1,1,0,0,500.0,0,Standard,Treatment
CUST000037,48.0,100-150K,76,Good,2,1,1,0,0,0,2191.24,0,Standard,Control
CUST000038,,100-150K,27,Good,5,1,1,0,0,0,,0,Standard,Treatment
CUST000039,25.0,30-50K,119,Fair,1,1,1,1,0,0,2184.15,1,Standard,Control
CUST000040,47.0,<30K,28,Fair,3,1,0,0,1,0,7430.35,0,Standard,Control
CUST000041,56.0,75-100K,65,Fair,1,1,1,0,0,0,13194.4,1,Standard,Treatment
CUST000042,47.0,75-100K,30,Good,4,1,1,1,0,0,1095.84,1,Standard,Control
CUST000043,43.0,,12,Good,1,1,1,0,0,0,9499.63,1,Standard,Control
CUST000044,40.0,100-150K,10,Excellent,2,1,1,1,0,0,,0,New,Treatment
CUST000045,22.0,50-75K,26,Poor,1,1,1,0,0,0,621.41,1,Standard,Control
CUST000046,34.0,50-75K,67,Very Good,3,1,1,0,0,0,14620.27,1,Standard,Control
CUST000047,38.0,,44,Good,1,1,0,0,0,0,1599.33,1,Standard,Control
CUST000048,60.0,30-50K,56,Good,6,1,1,0,0,0,,1,Growth,Control
CUST000049,50.0,50-75K,15,Very Good,3,1,1,0,0,0,19954.06,0,Standard,Control
CUST000050,22.0,50-75K,31,Fair,2,1,1,1,0,0,4142.5,1,Standard,Control
CUST000051,,,2,Poor,5,1,1,0,1,0,4905.06,1,New,Control
CUST000052,39.0,,81,Very Good,1,1,1,0,0,0,,0,Standard,Control
CUST000053,,30-50K,220,Good,2,1,0,0,1,0,40464.63,1,Standard,Control
CUST000054,54.0,50-75K,25,Poor,2,0,0,0,0,0,1773.94,1,Standard,Treatment
CUST000055,,,1,Good,1,1,0,0,0,0,5168.78,0,New,Control
CUST000056,,,8,Good,1,1,1,0,0,0,2274.36,0,New,Control
CUST000057,32.0,,50,Very Good,2,1,1,0,0,0,8546.77,1,Standard,Control
CUST000058,40.0,75-100K,45,Fair,1,1,0,1,1,0,4793.08,0,Standard,Treatment
CUST000059,,,74,Good,2,1,0,1,1,0,,1,Standard,Treatment
CUST000060,59.0,30-50K,14,Good,2,1,1,1,0,0,8580.14,1,Standard,Control
CUST000061,37.0,50-75K,69,Good,2,1,0,0,1,0,,1,Standard,Control
CUST000062,42.0,,55,Excellent,2,1,0,0,0,0,5211.42,1,Standard,Treatment
CUST000063,28.0,,18,Poor,5,1,1,0,0,0,,1,Standard,Treatment
CUST000064,27.0,100-150K,37,Excellent,6,1,1,1,0,0,7713.68,1,Standard,Control
CUST000065,57.0,,7,Very Good,2,1,1,0,0,0,,1,New,Treatment
CUST000066,,,28,Very Good,1,1,0,0,0,0,950.17,0,Standard,Treatment
CUST000067,43.0,30-50K,102,Good,3,1,1,0,0,0,,0,Standard,Control
CUST000068,60.0,100-150K,26,Good,1,1,1,0,1,0,11470.02,0,Standard,Control
CUST000069,,<30K,87,Very Good,1,1,1,1,1,0,860.25,1,Standard,Control
CUST000070,35.0,100-150K,42,Excellent,2,1,1,0,1,0,16070.15,1,Standard,Treatment
CUST000071,50.0,30-50K,10,Good,2,1,1,0,0,0,13005.19,1,New,Treatment
CUST000072,68.0,,41,Fair,1,1,1,1,0,0,1744.96,1,Standard,Control
CUST000073,44.0,50-75K,33,Good,1,1,1,0,1,0,8733.7,0,Standard,Control
CUST000074,68.0,100-150K,24,Excellent,4,1,0,1,0,0,20206.36,1,Growth,Treatment
CUST000075,22.0,<30K,6,Good,2,1,1,1,1,0,,0,New,Control
CUST000076,57.0,30-50K,25,Very Good,2,1,1,0,0,0,21558.58,1,Standard,Control
CUST000077,,100-150K,3,Very Good,1,1,1,0,0,0,6018.52,1,New,Control
CUST000078,40.0,30-50K,4,Very Good,3,1,1,0,0,0,2149.3,1,New,Control
CUST000079,46.0,30-50K,25,Good,1,1,0,0,1,0,13241.08,1,Standard,Control
CUST000080,22.0,50-75K,17,Good,6,1,1,1,0,0,,1,Standard,Treatment
CUST000081,,30-50K,124,Excellent,1,1,1,0,1,0,25930.1,1,Standard,Treatment
CUST000082,,100-150K,22,Very Good,1,1,1,0,0,0,1233.12,0,Standard,Treatment
CUST000083,67.0,75-100K,68,Very Good,4,1,1,1,0,0,23653.24,1,Growth,Control
CUST000084,,50-75K,36,Good,2,1,0,0,0,0,6384.56,0,Standard,Control
CUST000085,32.0,>150K,58,Very Good,3,1,1,1,0,0,11553.98,1,Standard,Control
CUST000086,,,14,Good,1,1,1,1,0,0,3064.97,1,Standard,Control
CUST000087,58.0,,136,Good,1,1,0,0,1,0,,1,Standard,Control
CUST000088,49.0,30-50K,36,Very Good,1,1,1,1,0,0,,1,Standard,Treatment
CUST000089,,50-75K,85,Good,3,1,1,0,0,0,6388.26,0,Standard,Control
CUST000090,52.0,30-50K,21,Very Good,3,1,1,1,1,0,1016.4,0,Standard,Control
CUST000091,,,5,Good,4,1,0,1,0,0,12060.19,0,New,Control
CUST000092,59.0,75-100K,53,Very Good,1,1,0,0,0,0,2586.9,1,Standard,Control
CUST000093,34.0,,1,Good,1,1,1,0,0,0,2557.86,0,New,Control
CUST000094,40.0,50-75K,30,Very Good,2,1,1,0,0,0,1215.78,1,Standard,Control
CUST000095,,75-100K,10,Good,3,1,1,0,0,0,6129.41,1,New,Control
CUST000096,,100-150K,47,Very Good,3,1,1,0,0,0,1778.54,0,Standard,Control
CUST000097,49.0,100-150K,186,Very Good,2,1,0,0,0,0,4613.17,0,Standard,Control
CUST000098,,50-75K,29,Good,3,1,1,0,1,0,3320.08,1,Standard,Treatment
CUST000099,45.0,,81,Good,1,1,1,0,1,0,,1,Standard,Control
CUST000100,41.0,50-75K,34,Very Good,1,1,1,0,0,0,3083.11,1,Standard,Treatment
CUST000101,23.0,50-75K,32,Very Good,3,1,1,0,0,0,,1,Standard,Control
CUST000102,38.0,<30K,127,Very Good,2,0,1,0,0,0,15746.87,0,Standard,Control
CUST000103,,<30K,105,Very Good,4,1,1,1,0,0,19228.57,1,Standard,Control
CUST000104,,,73,Good,4,1,1,0,1,0,1009.2,0,Standard,Treatment
CUST000105,42.0,30-50K,16,Good,1,1,1,0,0,0,6199.43,1,Standard,Control
CUST000106,,<30K,37,Good,2,1,1,1,1,0,,0,Standard,Treatment
CUST000107,73.0,,12,Fair,3,1,1,0,0,0,1711.27,1,Standard,Treatment
CUST000108,47.0,<30K,28,Very Good,1,1,1,1,0,0,5854.15,0,Standard,Control
CUST000109,,50-75K,31,Fair,3,1,1,0,0,0,8628.84,0,Standard,Control
CUST000110,,,85,Excellent,3,1,1,0,0,0,500.0,1,Standard,Treatment
CUST000111,,>150K,108,Very Good,4,1,0,0,0,0,,1,Standard,Control
CUST000112,,50-75K,25,Very Good,1,1,1,1,1,0,11534.36,1,Standard,Control
CUST000113,45.0,<30K,1,Excellent,6,1,0,1,0,0,4761.99,1,New,Treatment
CUST000114,75.0,50-75K,94,Good,5,1,0,1,0,0,1714.0,0,Standard,Treatment
CUST000115,42.0,75-100K,9,Very Good,2,1,1,0,0,0,8842.38,1,New,Treatment
CUST000116,49.0,>150K,46,Fair,3,1,0,0,0,0,2239.77,0,Standard,Control
CUST000117,44.0,50-75K,1,Poor,1,1,0,0,0,0,22559.78,1,New,Control
CUST000118,,30-50K,24,Very Good,5,1,0,0,0,0,14435.75,1,Standard,Control
CUST000119,,100-150K,204,Poor,1,0,1,1,0,0,5031.51,1,Standard,Control
CUST000120,56.0,30-50K,5,Excellent,6,1,1,0,0,0,1869.97,0,New,Control
CUST000121,56.0,50-75K,26,Very Good,2,1,1,0,0,0,8914.83,1,Standard,Control
CUST000122,31.0,50-75K,17,Very Good,1,1,1,0,1,0,12716.01,1,Standard,Control
CUST000123,66.0,,113,Good,2,1,0,0,0,0,3290.93,1,Standard,Treatment
CUST000124,23.0,30-50K,97,Very Good,3,1,1,0,0,0,,1,Standard,Control
CUST000125,,30-50K,13,Poor,1,1,1,0,0,0,,1,Standard,Control
CUST000126,,75-100K,4,Very Good,1,1,0,0,0,0,,0,New,Treatment
CUST000127,30.0,100-150K,47,Fair,3,1,0,1,0,0,668.1,1,Standard,Control
CUST000128,,,19,Very Good,1,1,1,0,0,0,5926.94,1,Standard,Control
CUST000129,,,53,Fair,2,1,0,0,0,0,30572.89,1,Standard,Control
CUST000130,37.0,<30K,1,Poor,3,1,1,1,1,0,1539.78,1,New,Treatment
CUST000131,22.0,,6,Good,5,1,1,1,0,0,1871.08,0,New,Control
CUST000132,46.0,<30K,55,Fair,4,1,0,0,0,0,7047.54,0,Standard,Control
CUST000133,29.0,,11,Very Good,1,1,0,0,1,0,5137.28,0,New,Treatment
CUST000134,52.0,75-100K,93,Good,3,1,1,1,0,0,6924.02,0,Standard,Treatment
CUST000135,31.0,75-100K,2,Good,1,1,1,0,0,0,9149.44,1,New,Treatment
CUST000136,68.0,75-100K,11,Good,6,1,1,0,1,0,4808.49,0,New,Control
CUST000137,33.0,,240,Good,4,1,1,0,0,0,5791.74,1,Standard,Control
CUST000138,,,27,Good,4,1,1,1,1,0,1271.35,0,Standard,Treatment
CUST000139,57.0,75-100K,58,Very Good,4,1,1,1,1,0,2975.37,1,Standard,Control
CUST000140,26.0,100-150K,9,Fair,2,1,1,1,0,0,22348.35,1,New,Control
CUST000141,,50-75K,45,Fair,1,1,1,0,0,0,8652.82,1,Standard,Treatment
CUST000142,,<30K,62,Good,1,1,0,0,1,0,6869.59,1,Standard,Control
CUST000143,22.0,50-75K,18,Good,1,1,1,1,0,0,1725.2,1,Standard,Control
CUST000144,47.0,<30K,84,Good,1,1,0,0,0,0,1872.19,1,Standard,Control
CUST000145,48.0,50-75K,44,Good,1,1,1,0,0,0,1353.93,1,Standard,Control
CUST000146,56.0,50-75K,23,Very Good,2,1,1,0,1,0,543.37,0,Standard,Control
CUST000147,26.0,50-75K,39,Poor,3,0,1,0,0,0,3558.37,1,Standard,Treatment
CUST000148,25.0,<30K,41,Good,2,1,0,1,1,0,,1,Standard,Control
CUST000149,52.0,30-50K,8,Good,2,1,0,0,0,0,6134.99,0,New,Control
CUST000150,,50-75K,24,Very Good,3,1,1,0,1,0,,1,Standard,Treatment
CUST000151,48.0,>150K,20,Excellent,5,1,1,0,1,0,2317.57,1,Standard,Treatment
CUST000152,50.0,,24,Good,2,1,1,0,0,0,22002.72,0,Standard,Control
CUST000153,34.0,50-75K,68,Excellent,3,0,1,1,1,0,9112.99,1,Standard,Control
CUST000154,48.0,75-100K,31,Good,4,1,1,1,0,0,27074.69,1,Growth,Control
CUST000155,,50-75K,135,Poor,1,1,1,0,1,0,1252.45,0,Standard,Control
CUST000156,,30-50K,16,Fair,1,1,1,1,1,0,20079.9,0,Standard,Control
CUST000157,72.0,50-75K,25,Good,4,1,1,0,0,0,2187.18,1,Standard,Control
CUST000158,52.0,30-50K,74,Good,2,1,1,0,0,0,1892.26,0,Standard,Control
CUST000159,27.0,>150K,37,Fair,6,1,1,0,0,0,4578.63,1,Standard,Control
CUST000160,54.0,<30K,38,Good,1,1,1,0,0,0,1775.38,1,Standard,Control
CUST000161,30.0,30-50K,2,Good,2,1,1,1,0,0,8226.24,1,New,Control
CUST000162,56.0,<30K,24,Fair,1,1,0,1,0,0,13484.44,1,Standard,Treatment
CUST000163,62.0,30-50K,15,Good,1,1,1,1,0,0,8889.78,1,Standard,Control
CUST000164,32.0,75-100K,240,Excellent,3,1,1,1,0,0,4593.57,1,Standard,Control
CUST000165,59.0,30-50K,17,Good,4,1,1,0,1,0,20239.7,0,Growth,Treatment
CUST000166,51.0,<30K,103,Very Good,4,1,1,0,0,0,,1,Standard,Control
CUST000167,57.0,,54,Very Good,1,1,1,0,0,0,4128.97,1,Standard,Treatment
CUST000168,73.0,<30K,20,Good,4,1,1,1,0,0,4216.88,1,Standard,Control
CUST000169,41.0,<30K,37,Good,1,1,0,1,0,0,1700.91,0,Standard,Control
CUST000170,33.0,75-100K,88,Good,1,1,0,0,1,0,1545.52,1,Standard,Control
CUST000171,,,103,Very Good,3,1,0,1,0,0,2847.18,1,Standard,Treatment
CUST000172,,100-150K,8,Good,3,1,1,1,0,0,1389.47,1,New,Control
CUST000173,43.0,,19,Fair,3,1,1,0,0,0,1236.28,1,Standard,Treatment
CUST000174,50.0,75-100K,19,Fair,1,1,1,0,0,0,1635.36,0,Standard,Treatment
CUST000175,49.0,<30K,2,Very Good,5,1,1,0,0,0,17849.12,0,New,Control
CUST000176,57.0,75-100K,43,Good,2,1,1,0,0,0,1862.58,1,Standard,Treatment
CUST000177,,75-100K,92,Very Good,1,1,0,1,0,0,13224.48,1,Standard,Control
CUST000178,66.0,,23,Good,2,1,1,1,0,0,2279.29,0,Standard,Control
CUST000179,41.0,,64,Very Good,4,1,1,0,1,0,6168.85,1,Standard,Control
CUST000180,,30-50K,47,Good,1,1,1,1,0,0,1850.74,0,Standard,Control
CUST000181,54.0,75-100K,22,Good,3,1,1,0,0,0,6219.09,1,Standard,Control
CUST000182,32.0,75-100K,7,Excellent,1,1,1,0,0,0,75592.0,1,Premium,Treatment
CUST000183,28.0,,59,Very Good,2,1,1,0,1,0,2127.35,1,Standard,Treatment
CUST000184,52.0,30-50K,92,Fair,3,1,1,1,1,0,3455.03,1,Standard,Control
CUST000185,41.0,30-50K,55,Fair,6,1,0,1,0,0,1181.97,1,Standard,Control
CUST000186,55.0,30-50K,1,Very Good,4,1,1,0,1,0,18386.64,0,New,Control
CUST000187,,75-100K,11,Very Good,2,1,1,1,1,0,22267.21,1,New,Treatment
CUST000188,43.0,,3,Good,2,1,1,1,0,0,1606.03,1,New,Control
CUST000189,32.0,,40,Good,6,1,0,0,0,0,4070.03,1,Standard,Treatment
CUST000190,,>150K,67,Very Good,5,1,1,0,0,0,8142.62,0,Standard,Treatment
CUST000191,,<30K,5,Good,2,1,0,1,0,0,,1,New,Treatment
CUST000192,57.0,,87,Very Good,1,1,1,0,0,0,1619.45,1,Standard,Control
CUST000193,48.0,30-50K,38,Fair,5,1,0,0,0,0,,1,Standard,Control
CUST000194,,,56,Excellent,3,1,1,0,1,0,1120.89,1,Standard,Control
CUST000195,47.0,,170,Very Good,2,1,1,1,1,0,16803.4,0,Standard,Treatment
CUST000196,,100-150K,4,Very Good,4,0,1,1,0,0,10896.3,1,New,Control
CUST000197,31.0,,111,Good,1,1,0,0,0,0,,1,Standard,Control
CUST000198,47.0,<30K,6,Fair,4,1,0,1,0,0,,1,New,Treatment
CUST000199,45.0,<30K,23,Good,6,1,1,0,0,0,7041.01,1,Standard,Control
CUST000200,,30-50K,91,Very Good,3,1,1,0,1,0,5786.79,1,Standard,Control
CUST000201,50.0,,113,Very Good,3,1,1,1,0,0,7674.25,1,Standard,Control
CUST000202,,100-150K,33,Good,3,1,1,0,0,0,,0,Standard,Control
CUST000203,,,43,Very Good,4,1,1,0,0,0,,0,Premium,Control
CUST000204,,,59,Very Good,6,1,1,0,0,0,217483.9,0,Premium,Control
CUST000205,24.0,30-50K,85,Poor,4,1,1,0,0,0,7563.11,0,Standard,Control
CUST000206,,75-100K,6,Good,2,1,0,0,0,0,,1,New,Treatment
CUST000207,,>150K,79,Very Good,1,1,1,0,0,0,1747.74,1,Standard,Treatment
CUST000208,52.0,30-50K,31,Good,1,1,1,1,1,0,4362.26,0,Standard,Treatment
CUST000209,52.0,,28,Very Good,3,0,1,0,0,0,1887.81,1,Standard,Control
CUST000210,,<30K,26,Good,2,1,1,0,1,0,,0,Standard,Control
CUST000211,,50-75K,34,Excellent,4,1,1,1,0,0,9236.82,0,Standard,Control
CUST000212,62.0,50-75K,139,Poor,3,1,1,1,1,0,77589.1,0,Growth,Treatment
CUST000213,59.0,<30K,38,Good,4,1,0,0,0,0,1607.39,1,Standard,Control
CUST000214,,50-75K,146,Fair,2,1,1,0,0,0,24134.17,1,Standard,Control
CUST000215,40.0,30-50K,9,Fair,3,1,1,1,0,0,2992.64,1,New,Control
CUST000216,56.0,50-75K,61,Good,5,1,1,0,0,0,,1,Standard,Treatment
CUST000217,33.0,50-75K,80,Fair,2,0,1,0,1,0,,0,Standard,Control
CUST000218,41.0,<30K,54,Excellent,4,1,1,0,0,0,52934.99,1,Premium,Control
CUST000219,37.0,,44,Excellent,3,1,1,0,0,0,500.0,1,Standard,Control
CUST000220,46.0,75-100K,39,Good,3,1,1,0,1,0,8456.33,0,Standard,Control
CUST000221,75.0,,94,Very Good,1,1,0,0,0,0,18982.82,1,Standard,Treatment
CUST000222,22.0,<30K,82,Good,2,1,0,0,1,0,1539.81,1,Standard,Treatment
CUST000223,55.0,75-100K,6,Very Good,1,1,1,0,0,0,9319.2,1,New,Treatment
CUST000224,22.0,>150K,90,Very Good,1,1,1,1,1,0,,0,Standard,Control
CUST000225,,30-50K,25,Poor,2,1,1,1,0,0,51813.3,0,Standard,Control
CUST000226,61.0,30-50K,14,Very Good,6,1,1,0,0,0,1046.63,1,Standard,Control
CUST000227,,,97,Very Good,3,1,1,0,0,0,9848.36,1,Standard,Treatment
CUST000228,,50-75K,27,Good,3,1,1,1,1,0,2925.68,0,Standard,Treatment
CUST000229,34.0,30-50K,79,Excellent,3,1,1,0,0,0,4156.64,1,Standard,Treatment
CUST000230,55.0,30-50K,14,Excellent,1,1,1,1,0,0,3474.81,1,Standard,Control
CUST000231,34.0,75-100K,1,Good,2,1,0,0,0,0,18622.52,1,New,Treatment
CUST000232,,50-75K,32,Very Good,1,1,0,0,0,0,6210.0,1,Standard,Control
CUST000233,45.0,30-50K,5,Excellent,3,1,1,0,0,0,909.52,1,New,Control
CUST000234,35.0,,67,Good,1,1,1,1,1,0,7767.82,0,Standard,Control
CUST000235,75.0,,15,Good,3,0,1,0,0,0,6892.11,1,Standard,Treatment
CUST000236,,<30K,28,Fair,6,1,0,1,0,0,,0,Standard,Treatment
CUST000237,22.0,,4,Excellent,4,1,0,0,1,0,7466.18,0,New,Control
CUST000238,47.0,100-150K,16,Very Good,2,1,0,0,0,0,,1,Standard,Treatment
CUST000239,,<30K,73,Fair,2,1,1,0,0,0,20470.54,0,Standard,Control
CUST000240,57.0,75-100K,7,Excellent,3,1,1,0,0,0,19641.94,1,New,Control
CUST000241,,100-150K,50,Very Good,2,1,1,0,1,0,9352.22,1,Standard,Treatment
CUST000242,43.0,30-50K,119,Very Good,1,1,0,0,0,0,7073.95,1,Standard,Control
CUST000243,52.0,30-50K,54,Poor,3,1,0,0,0,0,7825.16,0,Standard,Control
CUST000244,57.0,,79,Good,3,1,1,0,0,0,19985.71,1,Standard,Treatment
CUST000245,26.0,100-150K,5,Very Good,3,1,1,1,0,0,25597.68,1,Growth,Treatment
CUST000246,39.0,100-150K,13,Good,4,1,0,1,1,0,9476.91,1,Standard,Treatment
CUST000247,,75-100K,107,Very Good,1,1,1,0,0,0,10714.18,1,Standard,Treatment
CUST000248,35.0,<30K,60,Very Good,1,1,0,0,0,0,6352.01,0,Standard,Treatment
CUST000249,71.0,75-100K,48,Good,1,1,1,0,1,0,89574.71,0,Standard,Control
CUST000250,51.0,,52,Very Good,2,1,1,0,0,0,500.0,1,Standard,Treatment
CUST000251,26.0,,25,Fair,1,1,1,0,0,0,2262.58,0,Standard,Treatment
CUST000252,58.0,<30K,2,Good,1,1,1,0,0,0,1925.02,1,New,Control
CUST000253,75.0,30-50K,73,Poor,2,1,1,1,1,0,62415.7,1,Standard,Treatment
CUST000254,60.0,,54,Good,1,1,0,1,0,0,3852.75,1,Standard,Treatment
CUST000255,22.0,50-75K,30,Good,2,1,0,0,0,0,,0,Standard,Treatment
CUST000256,37.0,30-50K,110,Very Good,2,1,1,1,0,0,1894.48,0,Standard,Control
CUST000257,64.0,,19,Very Good,4,1,1,0,1,0,9798.17,1,Standard,Control
CUST000258,34.0,100-150K,16,Good,5,1,1,0,1,0,5220.51,1,Standard,Treatment
CUST000259,51.0,,98,Very Good,4,1,1,1,0,0,4447.08,1,Standard,Control
CUST000260,56.0,30-50K,76,Poor,1,1,0,0,0,0,6429.42,0,Standard,Control
CUST000261,31.0,<30K,34,Fair,2,1,1,1,1,0,19797.97,0,Standard,Control
CUST000262,,30-50K,6,Very Good,3,1,1,0,1,0,15232.3,1,New,Treatment
CUST000263,,,11,Very Good,4,1,0,1,1,0,1891.25,1,New,Control
CUST000264,29.0,50-75K,51,Very Good,3,0,1,0,1,0,7176.73,1,Standard,Treatment
CUST000265,41.0,50-75K,23,Good,3,1,0,1,0,0,32352.45,0,Growth,Treatment
CUST000266,26.0,50-75K,86,Very Good,1,1,1,0,0,0,6519.68,0,Standard,Control
CUST000267,69.0,30-50K,143,Very Good,2,1,0,0,1,0,2475.24,0,Standard,Control
CUST000268,23.0,75-100K,78,Excellent,1,1,0,1,1,0,1271.6,0,Standard,Control
CUST000269,38.0,50-75K,22,Fair,2,1,0,1,1,0,6673.13,1,Standard,Treatment
CUST000270,,<30K,74,Good,3,1,0,1,0,0,3888.86,0,Standard,Control
CUST000271,66.0,<30K,20,Very Good,1,1,1,0,0,0,3806.47,0,Standard,Control
CUST000272,23.0,50-75K,8,Excellent,5,1,1,0,0,0,6483.19,1,New,Treatment
CUST000273,62.0,100-150K,1,Fair,6,1,1,0,1,0,2187.26,0,New,Control
CUST000274,45.0,30-50K,23,Good,4,1,0,0,0,0,23173.33,0,Growth,Treatment
CUST000275,30.0,100-150K,112,Good,6,1,1,1,1,0,4514.75,0,Standard,Control
CUST000276,51.0,75-100K,13,Good,2,1,0,1,0,0,53274.33,0,Standard,Control
CUST000277,47.0,30-50K,11,Good,1,1,1,1,0,0,16982.84,1,New,Control
CUST000278,35.0,<30K,168,Poor,3,1,0,0,0,0,4486.71,0,Standard,Control
CUST000279,46.0,<30K,1,Good,4,1,1,0,0,0,1059.21,1,New,Control
CUST000280,39.0,75-100K,73,Good,3,1,1,1,0,0,10889.14,1,Standard,Control
CUST000281,46.0,30-50K,18,Fair,4,1,1,1,1,0,8669.16,1,Standard,Treatment
CUST000282,54.0,30-50K,1,Good,4,1,1,1,0,0,2120.95,1,New,Control
CUST000283,,50-75K,119,Poor,2,1,1,1,0,0,,1,Standard,Treatment
CUST000284,26.0,75-100K,7,Excellent,3,1,1,1,0,0,4837.42,1,New,Control
CUST000285,75.0,,38,Very Good,3,1,1,0,1,0,6508.71,1,Standard,Control
CUST000286,22.0,50-75K,15,Very Good,3,1,0,1,0,0,,1,Standard,Treatment
CUST000287,42.0,50-75K,3,Good,6,1,1,0,0,0,4934.02,0,New,Treatment
CUST000288,,50-75K,2,Excellent,3,1,1,1,1,0,20623.43,0,Growth,Control
CUST000289,49.0,75-100K,5,Good,1,1,0,0,0,0,,1,New,Treatment
CUST000290,35.0,,3,Good,1,1,0,0,0,0,47791.65,0,New,Control
CUST000291,41.0,75-100K,68,Good,2,1,1,0,1,0,665.12,1,Standard,Control
CUST000292,37.0,75-100K,31,Very Good,4,1,0,0,0,0,2050.33,1,Standard,Treatment
CUST000293,,,20,Good,1,1,0,0,0,0,1173.61,1,Standard,Control
CUST000294,,75-100K,26,Good,6,1,0,0,0,0,6405.54,0,Standard,Control
CUST000295,50.0,,126,Fair,2,1,0,0,1,0,7932.91,1,Standard,Control
CUST000296,34.0,<30K,115,Very Good,2,1,1,0,0,0,40299.39,1,Standard,Control
CUST000297,58.0,75-100K,60,Good,5,1,1,0,0,0,6353.73,0,Standard,Treatment
CUST000298,49.0,50-75K,103,Fair,4,1,1,0,0,0,13577.73,1,Standard,Control
CUST000299,57.0,50-75K,18,Good,2,1,1,0,0,0,1331.29,1,Standard,Treatment
CUST000300,54.0,,23,Good,2,1,1,0,0,0,936.77,1,Standard,Control
CUST000301,32.0,100-150K,45,Very Good,1,1,1,0,0,0,23623.17,1,Standard,Control
CUST000302,,50-75K,46,Poor,1,1,1,0,0,0,15211.3,1,Standard,Treatment
CUST000303,56.0,<30K,31,Good,2,1,1,1,1,0,,0,Standard,Control
CUST000304,54.0,50-75K,24,Very Good,3,1,1,0,0,0,1717.58,1,Standard,Treatment
CUST000305,,,205,Very Good,3,1,1,1,0,0,90846.11,1,Premium,Control
CUST000306,46.0,75-100K,82,Good,2,1,0,0,0,0,13287.32,0,Standard,Control
CUST000307,,50-75K,27,Very Good,3,1,1,0,1,0,2143.91,1,Standard,Control
CUST000308,36.0,100-150K,62,Good,2,1,0,0,1,0,5236.26,0,Standard,Control
